plate_no,owner_id,vehicle_type,engine_cc,reg_date
51F-899.26,OWN136,Ô tô con,250,2021-03-24
51F-881.31,OWN123,Xe máy,150,2021-10-11
30A-009.15,OWN150,Ô tô con,100,2022-11-21
30A-889.81,OWN141,Xe máy,250,2022-06-07
43A-309.65,OWN103,Xe máy,125,2022-09-26
43A-744.01,OWN134,Xe máy,250,2021-03-10
51F-488.03,OWN151,Xe máy,110,2023-05-05
29A-304.04,OWN100,Xe máy,150,2023-07-04
30A-934.69,OWN106,Xe tải,125,2023-08-13
29A-796.79,OWN133,Xe tải,250,2021-02-09
29A-518.26,OWN125,Xe máy,110,2023-04-11
51F-252.85,OWN128,Xe tải,150,2023-04-25
43A-500.60,OWN125,Xe máy,125,2023-06-23
51F-708.54,OWN119,Xe máy,125,2023-09-25
43A-049.49,OWN147,Ô tô con,150,2021-08-15
29A-269.31,OWN109,Xe tải,125,2021-01-13
51F-513.54,OWN139,Xe máy,110,2021-07-05
43A-864.58,OWN124,Xe máy,125,2022-08-06
30A-063.47,OWN158,Xe máy,110,2022-09-06
29A-674.63,OWN157,Xe tải,250,2021-11-06
51F-169.25,OWN111,Xe tải,110,2022-06-12
29A-995.61,OWN125,Xe máy,110,2022-02-03
29A-634.55,OWN138,Xe tải,110,2022-11-18
29A-333.83,OWN112,Ô tô con,110,2021-11-28
43A-498.98,OWN152,Xe máy,150,2023-01-30
29A-072.97,OWN114,Ô tô con,100,2023-09-22
51F-621.01,OWN141,Xe tải,250,2022-06-06
51F-102.86,OWN118,Ô tô con,110,2023-09-02
51F-123.24,OWN116,Ô tô con,150,2021-01-23
29A-652.21,OWN158,Xe máy,150,2021-03-18
51F-877.44,OWN134,Xe tải,110,2023-03-17
51F-559.02,OWN108,Ô tô con,100,2022-02-16
29A-653.60,OWN151,Xe tải,150,2022-05-04
51F-110.45,OWN158,Ô tô con,100,2023-03-27
29A-449.31,OWN143,Ô tô con,250,2021-06-25
29A-581.71,OWN127,Xe máy,250,2022-08-12
51F-191.50,OWN101,Xe tải,250,2023-11-20
43A-558.87,OWN130,Xe máy,125,2022-01-30
29A-895.29,OWN133,Xe tải,150,2022-01-22
29A-012.37,OWN120,Xe máy,125,2022-11-03
51F-122.23,OWN101,Xe tải,150,2021-08-04
51F-588.24,OWN153,Xe máy,100,2021-11-28
43A-062.01,OWN154,Ô tô con,150,2023-08-01
43A-997.93,OWN145,Xe tải,150,2021-11-23
43A-456.71,OWN152,Xe máy,250,2021-02-24
30A-800.14,OWN148,Ô tô con,250,2023-06-25
51F-832.51,OWN108,Xe máy,150,2021-01-20
29A-358.76,OWN154,Ô tô con,250,2021-01-21
51F-984.58,OWN121,Xe máy,110,2021-01-10
43A-362.23,OWN105,Xe máy,250,2021-07-31
29A-943.36,OWN130,Xe máy,250,2023-11-30
51F-585.49,OWN140,Xe tải,110,2023-12-20
29A-906.42,OWN105,Xe tải,125,2023-10-27
30A-700.23,OWN121,Xe máy,110,2021-07-11
51F-742.97,OWN113,Xe tải,100,2023-10-01
29A-776.09,OWN115,Ô tô con,110,2023-08-05
29A-355.09,OWN146,Ô tô con,100,2021-12-14
29A-115.61,OWN144,Xe máy,150,2022-02-13
43A-817.09,OWN129,Xe máy,150,2021-11-14
29A-104.24,OWN136,Xe tải,125,2023-07-08
43A-146.22,OWN109,Xe tải,250,2023-06-18
51F-033.69,OWN120,Xe tải,250,2022-01-14
30A-776.77,OWN129,Xe máy,250,2023-05-14
29A-911.75,OWN110,Ô tô con,150,2022-02-17
43A-087.52,OWN101,Xe tải,125,2022-03-29
43A-444.22,OWN154,Ô tô con,150,2021-04-01
29A-045.67,OWN107,Xe máy,150,2022-03-01
51F-902.97,OWN115,Ô tô con,150,2021-08-04
30A-797.49,OWN158,Xe máy,150,2023-03-28
51F-846.29,OWN109,Xe tải,100,2022-09-03
29A-084.30,OWN134,Ô tô con,100,2023-06-23
51F-703.64,OWN108,Xe tải,100,2022-06-03
30A-373.16,OWN147,Xe tải,150,2023-11-28
30A-551.36,OWN148,Xe máy,125,2023-10-02
29A-594.93,OWN106,Xe máy,125,2021-07-07
43A-632.88,OWN100,Ô tô con,125,2021-09-01
30A-729.19,OWN147,Xe máy,125,2023-08-24
43A-434.93,OWN109,Ô tô con,150,2021-12-30
29A-356.43,OWN131,Xe tải,125,2021-08-21
29A-101.70,OWN117,Xe tải,125,2023-01-17
43A-792.38,OWN151,Ô tô con,150,2022-08-16
51F-845.71,OWN112,Ô tô con,250,2022-04-11
29A-233.27,OWN134,Xe tải,110,2023-09-24
30A-744.23,OWN114,Ô tô con,100,2022-02-03
29A-462.07,OWN108,Ô tô con,110,2022-06-22
43A-825.64,OWN119,Xe tải,110,2021-09-18
30A-725.26,OWN103,Ô tô con,125,2021-07-29
30A-283.57,OWN120,Xe tải,125,2022-11-01
29A-349.60,OWN134,Xe máy,100,2023-06-28
51F-167.43,OWN123,Ô tô con,110,2021-01-28
29A-884.44,OWN143,Ô tô con,250,2021-09-03
51F-162.36,OWN138,Xe tải,250,2021-08-22
30A-269.57,OWN106,Ô tô con,150,2022-07-10
29A-439.35,OWN107,Xe máy,125,2023-07-10
51F-514.05,OWN111,Xe máy,100,2023-03-11
51F-487.31,OWN144,Ô tô con,110,2023-12-09
30A-730.68,OWN152,Xe tải,110,2023-04-15
51F-632.76,OWN145,Xe tải,150,2023-01-10
29A-478.84,OWN108,Xe máy,250,2022-10-14
29A-396.59,OWN100,Xe tải,100,2023-08-17
29A-712.50,OWN158,Xe tải,250,2022-04-17
51F-097.07,OWN140,Xe máy,250,2022-07-16
51F-459.51,OWN137,Xe máy,150,2023-06-19
43A-093.43,OWN143,Ô tô con,250,2023-12-05
43A-504.11,OWN134,Xe máy,110,2023-01-14
51F-883.30,OWN126,Xe máy,150,2022-10-21
30A-499.08,OWN122,Xe máy,150,2022-07-18
51F-512.44,OWN110,Xe tải,125,2023-01-30
30A-240.94,OWN132,Ô tô con,110,2022-09-12
29A-299.73,OWN142,Xe máy,250,2021-01-01
29A-708.28,OWN137,Xe máy,150,2022-02-19
51F-506.23,OWN119,Xe máy,125,2021-03-05
43A-222.39,OWN147,Xe tải,250,2021-10-28
30A-121.13,OWN128,Xe tải,100,2022-01-07
30A-732.69,OWN136,Xe máy,150,2021-01-03
30A-768.26,OWN121,Xe máy,125,2022-05-27
51F-467.67,OWN122,Ô tô con,150,2021-11-05
29A-217.51,OWN118,Xe tải,150,2021-11-20
30A-410.40,OWN131,Xe tải,150,2022-02-02
51F-126.85,OWN130,Ô tô con,150,2022-11-18
